DMC Code,Color Name,HEX,R,G,B,C,M,Y,K
910,Emerald Green dark,#007A4B,0,122,75,100,0,38.5,52.2
911,Emerald Green medium,#008853,0,136,83,100,0,39,46.7
912,Emerald Green light,#309C66,48,156,102,69.2,0,34.6,38.8
913,Nile Green medium,#4DAF78,77,175,120,56,0,31.4,31.4
915,Plum dark,#76003D,118,0,61,0,100,48.3,53.7
917,Plum medium,#911B5B,145,27,91,0,81.4,37.2,43.1
918,Red Copper dark,#7B2E23,123,46,35,0,62.6,71.5,51.8
919,Red Copper,#912920,145,41,32,0,71.7,77.9,43.1
920,Copper medium,#A43D25,164,61,37,0,62.8,77.4,35.7
921,Copper,#BC4D2E,188,77,46,0,59,75.5,26.3
922,Copper light,#D7633A,215,99,58,0,54,73,15.7
924,Grey Green very dark,#294247,41,66,71,42.3,7,0,72.2
926,Grey Green medium,#617878,97,120,120,19.2,0,0,52.9
927,Grey Green light,#889A97,136,154,151,11.7,0,1.9,39.6
928,Grey Green very light,#ABB5B1,171,181,177,5.5,0,2.2,29
930,Antique Blue dark,#30465A,48,70,90,46.7,22.2,0,64.7
931,Antique Blue medium,#536A82,83,106,130,36.2,18.5,0,49
932,Antique Blue light,#758FA6,117,143,166,29.5,13.9,0,34.9
934,Black Avocado Green,#2E3425,46,52,37,11.5,0,28.8,79.6
935,Avocado Green dark,#363D2C,54,61,44,11.5,0,27.9,76.1
936,Avocado Green very dark,#424423,66,68,35,2.9,0,48.5,73.3
937,Avocado Green medium,#465429,70,84,41,16.7,0,51.2,67.1
938,Coffee Brown ultra dark,#3D2923,61,41,35,0,32.8,42.6,76.1
939,Navy Blue very dark,#1B1B2C,27,27,44,38.6,38.6,0,82.7
943,Aquamarine medium,#008F79,0,143,121,100,0,15.4,43.9
945,Tawny medium,#EEB28F,238,178,143,0,25.2,39.9,6.7
946,Burnt Orange medium,#F53D1C,245,61,28,0,75.1,88.6,3.9
947,Burnt Orange,#FF4A1B,255,74,27,0,71,89.4,0
948,Peach very light,#FDD5C1,253,213,193,0,15.8,23.7,0.8
950,Desert Sand light,#DFAC93,223,172,147,0,22.9,34.1,12.5
951,Tawny light,#F7CEA9,247,206,169,0,16.6,31.6,3.1
954,Nile Green,#6CBE87,108,190,135,43.2,0,28.9,25.5
955,Nile Green light,#97DCA8,151,220,168,31.4,0,23.6,13.7
956,Geranium,#F94472,249,68,114,0,72.7,54.2,2.4
957,Geranium pale,#FF7CA2,255,124,162,0,51.4,36.5,0
958,Sea Green dark,#009887,0,152,135,100,0,11.2,40.4
959,Sea Green medium,#30AD9D,48,173,157,72.3,0,9.2,32.2
961,Dusty Rose dark,#D94B6F,217,75,111,0,65.4,48.8,14.9
962,Dusty Rose medium,#E46486,228,100,134,0,56.1,41.2,10.6
963,Dusty Rose ultra very light,#FFBAC4,255,186,196,0,27.1,23.1,0
964,Sea Green light,#75CDC1,117,205,193,42.9,0,5.9,19.6
966,Baby Green medium,#8DBF8E,141,191,142,26.2,0,25.7,25.1
967,Apricot very light,#FFBEA9,255,190,169,0,25.5,33.7,0
970,Pumpkin light,#FF6624,255,102,36,0,60,85.9,0
972,Canary deep,#FFA400,255,164,0,0,35.7,100,0
973,Canary bright,#FFCF00,255,207,0,0,18.8,100,0
975,Golden Brown dark,#793A20,121,58,32,0,52.1,73.6,52.5
976,Golden Brown medium,#C46A2C,196,106,44,0,45.9,77.6,23.1
977,Golden Brown light,#E6833D,230,131,61,0,43,73.5,9.8
986,Forest Green very dark,#25502C,37,80,44,53.7,0,45,68.6
987,Forest Green dark,#42663A,66,102,58,35.3,0,43.1,60
988,Forest Green medium,#5A8044,90,128,68,29.7,0,46.9,49.8
